City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
143,santa marta,11.2408,-74.199,27.72,64,15,8.94,CO,1675047951
144,chokurdakh,70.6333,147.9167,-33.42,98,100,2.85,RU,1675047951
145,ribeira grande,38.5167,-28.7,12.65,84,78,4.02,PT,1675047952
146,hovd,48.0056,91.6419,-14.14,66,1,1.5,MN,1675047952
147,rochester,43.1548,-77.6156,-0.57,89,100,1.34,US,1675047531
148,sauda,59.6506,6.3542,5.93,95,100,11.26,NO,1675047953
149,tiarei,-17.5333,-149.3333,29.01,72,3,3.56,PF,1675047953
150,hambantota,6.1241,81.1185,23.19,100,75,1.03,LK,1675047953
151,vao,-22.6667,167.4833,25.05,73,15,5.18,NC,1675047954
152,wanaka,-44.7,169.15,27.84,43,94,2.68,NZ,1675047816
153,piacabucu,-10.4056,-36.4344,24.65,84,25,3.19,BR,1675047955
154,airai,-8.9266,125.4092,23.22,67,98,0.64,TL,1675047955
155,tuburan,6.6439,122.2736,27.15,80,100,2.62,PH,1675047955
156,hithadhoo,-0.6,73.0833,27.36,74,100,3.83,MV,1675047956
157,salinopolis,-0.6136,-47.3561,24.96,87,85,3.04,BR,1675047956
158,hobart,-42.8794,147.3294,24.92,41,20,3.09,AU,1675047920
159,kavieng,-2.5744,150.7967,29.7,67,39,4.33,PG,1675047957
160,rumphi,-11.0186,33.8575,16.9,94,69,1.26,MW,1675047958
161,krasnoselkup,65.7,82.4667,-28.9,100,100,2.54,RU,1675047958
162,alta floresta,-9.8756,-56.0861,20.74,98,28,0.23,BR,1675047959
163,san pedro de macoris,18.4616,-69.2972,21.34,90,6,4.31,DO,1675047959
164,kaitangata,-46.2817,169.8464,16.93,79,100,3.56,NZ,1675047960
165,tahe,52.3333,124.7333,-15.43,79,23,1.51,CN,1675047924
166,olga,43.7444,135.2892,-10.03,44,16,6.31,RU,1675047961
167,piltene,57.2243,21.6744,3.97,100,100,11.83,LV,1675047961
168,west fargo,46.875,-96.9004,-23.88,80,0,3.6,US,1675047964
169,esperance,-33.8667,121.9,25.4,44,3,2.6,AU,1675047965
170,geraldton,-28.7667,114.6,36.23,34,0,4.63,AU,1675047967
171,albany,42.6001,-73.9662,5.7,73,100,2.01,US,1675047923
172,naze,28.3667,129.4833,13.25,52,39,6.12,JP,1675047970
173,parnarama,-5.6817,-43.0933,24.22,71,82,0.82,BR,1675047971
174,miraflores,19.2167,-98.8083,19.46,46,2,1.2,MX,1675047651
175,komsomolskiy,40.4272,71.7189,-1.6,80,100,1.03,UZ,1675047699
176,palimbang,6.2106,124.1894,28.44,79,95,3.3,PH,1675047978
177,tabou,4.423,-7.3528,24.79,88,100,2.29,CI,1675047979
178,victoria,22.2855,114.1577,18.35,36,5,0.45,HK,1675047936
179,great falls,47.5002,-111.3008,-18.66,67,0,7.72,US,1675047907
180,saint-philippe,-21.3585,55.7679,25.77,78,100,1.09,RE,1675047981
181,namibe,-15.1961,12.1522,23.55,77,100,2.22,AO,1675047983
182,nemuro,43.3236,145.575,-4.97,48,8,1.56,JP,1675047986
183,lichinga,-13.3128,35.2406,16.63,94,97,1.02,MZ,1675047987
184,faanui,-16.4833,-151.75,27.67,70,13,4.83,PF,1675047988
185,pringsewu,-5.3582,104.9744,26.65,82,93,1.62,ID,1675047989
186,chapais,49.7834,-74.8492,-25.79,99,32,0.99,CA,1675047989
187,nanchang,28.6833,115.8833,10.5,29,0,2.02,CN,1675047990
188,kidal,18.4411,1.4078,13.0,9,96,4.63,ML,1675047994
